,00:0f:e2:a1:96:60,06:14:4b:65:38:a6,06:1b:b1:20:a4:35,06:1b:b1:22:36:17,06:1b:b1:22:3b:72,06:1b:b1:22:3b:7a,06:1b:b1:22:3f:ca,06:1b:b1:22:43:2d,06:1b:b1:22:43:54,06:1b:b1:22:43:65,06:1b:b1:22:43:e6,06:1b:b1:22:44:a9,0e:14:4b:65:38:a6,0e:1b:b1:20:a4:35,0e:1b:b1:22:34:2a,0e:1b:b1:22:36:17,0e:1b:b1:22:3b:72,0e:1b:b1:22:3b:7a,0e:1b:b1:22:3f:ca,0e:1b:b1:22:43:2d,0e:1b:b1:22:43:54,0e:1b:b1:22:43:65,0e:1b:b1:22:43:e6,0e:1b:b1:22:44:a9,14:e6:e4:38:16:8c,14:e6:e4:70:1c:60,14:e6:e4:70:ad:a2,20:dc:e6:bc:7e:8c,38:83:45:69:eb:a8,8c:21:0a:37:50:7a,xLabel,yLabel,locaLabel,RoomLabel
0,-81.0,-76.0,-66.4,-47.6,-53.4,-44.6,-53.8,-65.2,-67.6,-78.2,-69.0,-59.6,-78.0,-68.0,-75.8,-47.6,-53.4,-43.2,-53.8,-65.8,-67.8,-76.2,-69.8,-59.6,-67.8,-55.2,-47.0,-74.8,-70.2,-62.0,15.18,21.4,317.0,10.0
1,-73.6,-68.2,-61.8,-64.2,-52.6,-40.0,-64.0,-75.8,-66.4,-70.0,-48.0,-59.4,-68.2,-61.6,-70.8,-65.2,-52.6,-39.6,-63.8,-75.8,-65.4,-70.2,-48.0,-58.4,-55.8,-66.4,-49.4,-69.2,-78.0,-62.0,15.18,12.4,332.0,10.0
2,-74.0,-75.4,-66.4,-66.0,-52.0,-40.2,-60.0,-73.8,-69.6,-72.4,-60.2,-58.4,-77.2,-66.2,-79.4,-66.6,-51.6,-40.0,-60.0,-73.4,-69.2,-72.4,-60.2,-59.0,-61.2,-66.2,-47.6,-65.6,-73.0,-54.2,15.18,11.2,334.0,10.0
3,-73.6,-70.0,-61.4,-61.0,-55.8,-40.6,-64.0,-72.6,-61.0,-67.8,-50.4,-60.6,-70.0,-61.2,-70.6,-61.2,-55.6,-39.4,-63.8,-72.4,-61.0,-69.4,-50.2,-60.8,-62.4,-66.0,-51.0,-75.6,-77.5,-67.2,15.18,13.0,331.0,10.0
4,-73.0,-71.6,-60.0,-63.6,-54.2,-37.4,-57.4,-69.0,-59.8,-70.2,-55.2,-62.0,-69.2,-60.4,-72.0,-63.2,-54.2,-37.6,-57.4,-68.2,-60.0,-70.2,-55.2,-61.6,-56.6,-64.0,-52.0,-73.4,-90.0,-66.8,15.18,13.6,330.0,10.0
5,-72.2,-71.8,-61.2,-60.2,-55.8,-38.4,-59.8,-67.8,-62.6,-69.8,-56.0,-61.8,-71.8,-60.8,-73.8,-60.0,-55.6,-39.4,-59.6,-68.8,-63.6,-69.8,-56.0,-61.4,-58.4,-67.8,-47.4,-71.2,-77.0,-59.6,15.18,14.2,329.0,10.0
6,-71.33333333333333,-73.4,-62.0,-61.0,-52.6,-40.6,-62.8,-70.8,-64.0,-70.8,-57.8,-61.8,-74.2,-61.0,-75.0,-61.6,-52.4,-40.2,-62.6,-71.4,-63.8,-71.6,-57.6,-62.0,-60.2,-66.8,-49.0,-72.6,-75.4,-61.0,15.18,14.8,328.0,10.0
7,-70.8,-81.0,-60.4,-61.6,-53.2,-39.8,-62.8,-71.0,-60.6,-72.0,-57.0,-61.4,-76.0,-60.4,-70.4,-61.6,-52.4,-40.6,-62.6,-72.8,-60.2,-73.0,-57.0,-61.8,-57.6,-67.4,-46.6,-73.0,-76.33333333333333,-60.4,15.18,15.4,327.0,10.0
8,-72.66666666666667,-72.0,-63.8,-56.8,-53.6,-40.2,-67.2,-72.0,-61.4,-67.6,-60.8,-59.8,-81.0,-65.0,-70.0,-57.2,-53.0,-42.0,-66.6,-72.6,-61.4,-67.6,-61.0,-60.2,-59.4,-64.2,-50.8,-74.8,-77.0,-61.4,15.18,16.0,326.0,10.0
9,-70.0,-72.0,-61.6,-58.4,-52.2,-43.4,-60.4,-73.0,-64.6,-69.2,-67.4,-54.8,-80.0,-62.0,-74.0,-58.2,-52.4,-43.0,-60.4,-72.6,-65.4,-69.8,-67.6,-54.8,-59.0,-65.4,-51.2,-75.0,-71.66666666666667,-65.0,15.18,16.6,325.0,10.0
