id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
0,-81,-76,-66.4,-47.6,-53.4,-44.6,-53.8,-65.2,-67.6,-78.2,-69,-59.6,-78,-68,-75.8,-47.6,-53.4,-43.2,-53.8,-65.8,-67.8,-76.2,-69.8,-59.6,-67.8,-55.2,-47,-74.8,-70.2,-62,15.18,21.4
1,-73.6,-68.2,-61.8,-64.2,-52.6,-40,-64,-75.8,-66.4,-70,-48,-59.4,-68.2,-61.6,-70.8,-65.2,-52.6,-39.6,-63.8,-75.8,-65.4,-70.2,-48,-58.4,-55.8,-66.4,-49.4,-69.2,-78,-62,15.18,12.4
2,-74,-75.4,-66.4,-66,-52,-40.2,-60,-73.8,-69.6,-72.4,-60.2,-58.4,-77.2,-66.2,-79.4,-66.6,-51.6,-40,-60,-73.4,-69.2,-72.4,-60.2,-59,-61.2,-66.2,-47.6,-65.6,-73,-54.2,15.18,11.2
3,-73.6,-70,-61.4,-61,-55.8,-40.6,-64,-72.6,-61,-67.8,-50.4,-60.6,-70,-61.2,-70.6,-61.2,-55.6,-39.4,-63.8,-72.4,-61,-69.4,-50.2,-60.8,-62.4,-66,-51,-75.6,-77.5,-67.2,15.18,13
4,-73,-71.6,-60,-63.6,-54.2,-37.4,-57.4,-69,-59.8,-70.2,-55.2,-62,-69.2,-60.4,-72,-63.2,-54.2,-37.6,-57.4,-68.2,-60,-70.2,-55.2,-61.6,-56.6,-64,-52,-73.4,-90,-66.8,15.18,13.6
5,-72.2,-71.8,-61.2,-60.2,-55.8,-38.4,-59.8,-67.8,-62.6,-69.8,-56,-61.8,-71.8,-60.8,-73.8,-60,-55.6,-39.4,-59.6,-68.8,-63.6,-69.8,-56,-61.4,-58.4,-67.8,-47.4,-71.2,-77,-59.6,15.18,14.2
6,-71.33333333,-73.4,-62,-61,-52.6,-40.6,-62.8,-70.8,-64,-70.8,-57.8,-61.8,-74.2,-61,-75,-61.6,-52.4,-40.2,-62.6,-71.4,-63.8,-71.6,-57.6,-62,-60.2,-66.8,-49,-72.6,-75.4,-61,15.18,14.8
7,-70.8,-81,-60.4,-61.6,-53.2,-39.8,-62.8,-71,-60.6,-72,-57,-61.4,-76,-60.4,-70.4,-61.6,-52.4,-40.6,-62.6,-72.8,-60.2,-73,-57,-61.8,-57.6,-67.4,-46.6,-73,-76.33333333,-60.4,15.18,15.4
8,-72.66666667,-72,-63.8,-56.8,-53.6,-40.2,-67.2,-72,-61.4,-67.6,-60.8,-59.8,-81,-65,-70,-57.2,-53,-42,-66.6,-72.6,-61.4,-67.6,-61,-60.2,-59.4,-64.2,-50.8,-74.8,-77,-61.4,15.18,16
9,-70,-72,-61.6,-58.4,-52.2,-43.4,-60.4,-73,-64.6,-69.2,-67.4,-54.8,-80,-62,-74,-58.2,-52.4,-43,-60.4,-72.6,-65.4,-69.8,-67.6,-54.8,-59,-65.4,-51.2,-75,-71.66666667,-65,15.18,16.6
10,-74.2,-73.8,-62,-61.2,-52.8,-40.2,-57.6,-69,-63.2,-73.8,-63.8,-52,-75.2,-62,-73.6,-61,-53,-40.4,-57.6,-69.2,-62.8,-73.8,-63.6,-52,-60.4,-63.4,-52,-72.2,-74,-62.2,15.18,17.2
11,-71,-70.9,-65.3,-57.8,-52.1,-42.6,-58.5,-71,-63.9,-72.5,-62.2,-58.5,-73,-64.2,-76,-57.5,-51.9,-39.4,-58.3,-73.6,-63.4,-70,-61.7,-58.9,-68.9,-59.8,-48.8,-72.1,-84.8,-65.3,15.18,17.8
12,-70.5,-74,-63.2,-58.8,-51.6,-41.6,-60.6,-68.4,-63,-74.2,-61.8,-59.8,-73,-63.2,-79.4,-58.8,-51.6,-41.4,-60.6,-68.6,-63,-73.8,-62.2,-60.2,-61.2,-67.6,-46.4,-73.6,-71.8,-60.4,15.18,18.4
13,-72.8,-71.8,-61.4,-59.8,-53.2,-41.4,-59.8,-75.6,-69.8,-67.6,-56,-56.6,-76.4,-61.4,-77.8,-59.6,-52.6,-41.4,-60,-77.6,-69,-67.8,-56.2,-56.8,-57.6,-66,-47.6,-66.4,-90,-56,15.18,11.8
14,-70,-76.2,-66.8,-59.8,-53.6,-46.2,-60.8,-67,-69.2,-73.6,-60.8,-56.2,-74.8,-66.4,-78.8,-60,-53.8,-47,-61,-67.6,-69,-72.8,-60.8,-56,-60.8,-58.6,-50.2,-75.2,-69.8,-61.4,15.18,19
15,-71,-76,-68.6,-53.8,-55.2,-46.8,-58.8,-62,-67.4,-79.8,-62.4,-56.4,-78,-68.2,-80,-53.8,-55.2,-47,-58.8,-61.8,-67.2,-80,-62.8,-56,-56.8,-67.8,-46.2,-75.6,-64.4,-69.6,15.18,19.6
16,-75.5,-76,-66,-55,-56.2,-45.6,-62.2,-56.4,-64.4,-80,-63,-60.6,-77.6,-67.2,-78,-55.2,-56.2,-45.8,-62.4,-56.2,-64.8,-80.2,-63,-60.6,-62,-57.8,-50.2,-75.6,-63.4,-60.8,15.18,20.2
17,-78,-76,-67.8,-52.8,-53,-47.6,-58,-59.8,-66.4,-79.4,-64,-59.4,-78,-67,-77.2,-53.2,-53,-46.4,-57.6,-60.2,-66.4,-79.2,-64.4,-59.6,-60.2,-59.8,-49,-73.4,-70.5,-63.4,15.18,20.8
18,-71.75,-77,-63.4,-55.4,-48.6,-41.6,-51.2,-68.2,-62.8,-75.6,-69.4,-61.8,-85,-63.8,-78.2,-55.4,-48.6,-40.6,-51.4,-67.6,-62.6,-74.8,-69.2,-60.6,-57.2,-60.2,-43.8,-77.5,-74.2,-64.4,15.78,21.4
19,-72.5,-69.2,-60.2,-64.4,-53.9,-39,-63.3,-75.1,-63,-70.5,-52.8,-58,-70.1,-59.9,-73.5,-64.4,-53.4,-39.2,-63.5,-75.9,-63.4,-70.7,-52.9,-57.5,-61.1,-71.4,-47.7,-69.8,-78.66666667,-66.4,15.78,12.4
20,-72.5,-78.4,-63.6,-70.4,-56.2,-40.6,-61.8,-76,-67.6,-74.8,-66,-62.8,-77.2,-65.2,-76,-70.2,-56.4,-40.8,-61.4,-76,-67.4,-74.4,-66.4,-63.4,-56.8,-67.4,-56.8,-69.8,-76.4,-55.8,15.78,11.2
21,-70.75,-70.8,-66.6,-65.8,-54.6,-41.8,-60.4,-72,-64.4,-69.6,-49.8,-59.4,-72.6,-66.6,-76.6,-66.6,-54.4,-39.6,-60.2,-75.6,-65.8,-69.4,-49.4,-60,-59.4,-70,-52.8,-72.4,-79,-72,15.78,13
22,-72,-69.4,-60.2,-60.8,-51.8,-42,-55.6,-70.2,-59.4,-69,-52.4,-61.4,-69.6,-60.8,-71.8,-60.6,-51.8,-42,-55.8,-69.6,-59.6,-69,-52.8,-61.8,-60.4,-70.8,-51.8,-70.2,-90,-68.4,15.78,13.6
23,-70.25,-69.6,-60,-62,-53.4,-38.8,-60,-70.2,-60.2,-68.6,-54,-62.2,-69.2,-60.6,-70.4,-62.8,-53.6,-39.4,-60,-70,-61.2,-68.8,-53.4,-62,-59.2,-66.6,-54.6,-71.8,-90,-63.8,15.78,14.2
24,-72.6,-68.4,-59.8,-62.2,-51.6,-36.8,-62,-67.8,-59.2,-69.2,-55.2,-58.8,-69.2,-60.4,-69.6,-62.2,-51.6,-38.2,-62,-67.8,-59.4,-69,-55,-58.8,-61,-69.2,-51,-71.4,-82,-64.4,15.78,14.8
25,-71.4,-67,-58.4,-59.8,-56.2,-37.8,-62,-68,-62.4,-66.8,-58.4,-57.2,-67.8,-60.2,-68.6,-59.8,-56.2,-37.6,-62,-68.4,-64,-67,-58.2,-57,-60.4,-65.8,-46.6,-73,-74.4,-64.8,15.78,15.4
26,-71.4,-70.2,-62.2,-60.2,-53.6,-38.2,-62.4,-66.4,-60.4,-69.6,-62.6,-54.4,-71.2,-62.8,-70.2,-60,-53.6,-38.2,-62.4,-66.6,-61,-69.4,-62.6,-54.6,-60.8,-63,-52.6,-71.6,-75,-62,15.78,16
27,-70.6,-84.2,-63.4,-59.4,-55,-42.8,-64,-71,-62.6,-77.2,-57.6,-53.4,-79.6,-63.2,-70,-59.6,-55.2,-42.4,-64,-70.2,-63,-76.4,-57.6,-53.2,-57.4,-67.8,-51.2,-70,-70.6,-65,15.78,16.6
28,-68.6,-75.8,-61,-57.6,-53.6,-39.6,-58.8,-71.2,-61.8,-71.6,-62.4,-57,-75.4,-62,-73.4,-57.4,-53.6,-38.6,-59.6,-71.4,-62.4,-72,-62,-57.2,-57,-67.4,-49,-67.2,-67.2,-69.2,15.78,17.2
29,-69,-72.2,-60.6,-58.8,-51.6,-40,-60.2,-66.6,-60.8,-73.6,-62,-55.8,-71,-60.2,-73.4,-59.4,-51.4,-39.4,-60.2,-66.8,-60.6,-72.6,-61.8,-55.6,-61.8,-61.4,-46,-72.5,-69.2,-70.4,15.78,17.8
